job_ID,designation,company_id,name,work_type,involvement,employees_count,total_applicants,linkedin_followers,job_description,details_id,industry,level,City,State
3471657636,Data Science,524,Crossover,Remote,Full-time,1001,200,5395547,"About the job Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes? Are you looking for an entry-level role in the software industry that will give you the skills and exposure to move into any speciality later? We’re looking for curious individuals who love searching for meaningful answers. In this role, you’ll be given a business problem and will scour the internet for possible solutions. The problems will come from every area of our business: operations, finance, hiring, engineering, and more - giving you broad exposure. Not only will you gain knowledge, you’ll receive regular coaching and training from a team of global tech experts and operations professionals. Jumpstart your career with us today! What You Will Be Doing Research a variety of high-priority topics that are critical to the businessEvaluate results against provided evaluation criteria What You Won’t Be Doing Researching the same topics repeatedlyWorking on loosely-scoped research with desired outputs not clearly definedGetting lost chasing tangentially-related solutions; our systems and processes will help you focus your research and optimize your time Data Science Key Responsibilities Provide high-quality research data to support company-wide business decisions Basic Requirements Excellent written and verbal communication skillsBasic financial analysis skillsAbility to work in the US timezone About Trilogy Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds. There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you! Working with Crossover This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic. What to expect next: You will receive an email with a link to start your self-paced, online job application.Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments. Important! If you do not receive an email from us: First, emails may take up to 15 minutes to send, refresh and check again.Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply. Crossover Job Code: LJ-4718-IN-Delhi-DataAnalyst.004",2697, IT Services and IT Consulting, Associate,Delhi,Delhi
3471669068,Data Science,524,Crossover,Remote,Full-time,1001,184,5395547,"About the job Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes? Are you looking for an entry-level role in the software industry that will give you the skills and exposure to move into any speciality later? We’re looking for curious individuals who love searching for meaningful answers. In this role, you’ll be given a business problem and will scour the internet for possible solutions. The problems will come from every area of our business: operations, finance, hiring, engineering, and more - giving you broad exposure. Not only will you gain knowledge, you’ll receive regular coaching and training from a team of global tech experts and operations professionals. Jumpstart your career with us today! What You Will Be Doing Research a variety of high-priority topics that are critical to the businessEvaluate results against provided evaluation criteria What You Won’t Be Doing Researching the same topics repeatedlyWorking on loosely-scoped research with desired outputs not clearly definedGetting lost chasing tangentially-related solutions; our systems and processes will help you focus your research and optimize your time Data Science Key Responsibilities Provide high-quality research data to support company-wide business decisions Basic Requirements Excellent written and verbal communication skillsBasic financial analysis skillsAbility to work in the US timezone About Trilogy Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds. There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you! Working with Crossover This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic. What to expect next: You will receive an email with a link to start your self-paced, online job application.Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments. Important! If you do not receive an email from us: First, emails may take up to 15 minutes to send, refresh and check again.Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply. Crossover Job Code: LJ-4718-IN-NewDelhi-DataAnalyst.017",2724, IT Services and IT Consulting, Associate,New Delhi,Delhi
3474349934,Data Science,2242,Uplers,Remote,Full-time,1001,200,982115.1912,"About the job Profile: ML EngineersExperience: 3+ YearsLocation: Permanent Remote What is Uplers Talent Network?Uplers Talent Network is a place where top talents meet the right opportunities. It is a platform for every candidate looking for a perfect opportunity to work with global companies on a contractual basis. Our talent network is a place for top Indian talents who can benefit from the platform and gain access to global career exposure. With us, you'll get the support, guidance, and opportunities that you need to take your career to the next level. So, if you're ready to embark on the journey of your next challenge, we're ready to be your engine! Contractual PositionA contractual position usually requires you to sign and agree to the terms of a contract before you begin working. This structure can offer a variety of commitments that allow you to refine established skills and create new ones. Uplers Talent Network brings contractual positions with benefits like:✔ Higher pay than industry standards✔ Full-time position✔ Ability to gain different skills in a short period✔ Control over your career Perks of joining Uplers Talent Network:Talent Success Coach: Get connected with a dedicated coach to guide you before, during as well as after your assignments with our clients.Payout: Get paid in global currencies and earn more than industry standards.Opportunity: Work with international companies and get global exposure with exciting projects.Mobility: Work from the comfort of your living room couch or even a breezy beach. How to become a part of our Talent Network?Create your own profile to get selected by our global clientsFill out the application formClear the 3-stage assessment processBecome a Uplers Certified Talent What are we looking for:We are looking for a highly capable machine learning engineer to optimize our machine learning systems. You will be evaluating existing machine learning (ML) processes, performing statistical analysis to resolve data set problems, and enhancing the accuracy of our AI software's predictive automation capabilities. To ensure success as a machine learning engineer, you should demonstrate solid data science knowledge and experience in a related ML role. A first-class machine learning engineer will be someone whose expertise translates into the enhanced performance of predictive automation software. Roles & Responsibilities:To research, modify, and apply data science and data analytics prototypes.To create and construct methods and plans for machine learningEmploying test findings to do statistical analysis and improve modelsTo search the internet for training datasets that are readily availableML systems and models should be trained and retrained as necessaryTo improve and broaden current ML frameworks and librariesTo create machine learning applications in accordance with client or customer needsTo investigate, test, and put into practice appropriate ML tools and algorithms.To evaluate the application cases and problem-solving potential of ML algorithms and rank them according to success likelihoodTo better comprehend data through exploration and visualization, as well as to spot discrepancies in data distribution that might affect a model’s effectiveness when used in practical situations Primary Skills:Data ModellingNatural Language Processing - Word2vec, Sentiment Analysis, Summarization, Gensim, and NLTKUnix & Linux ServersProgramming Languages - C, C++, Python and JavaSpark and Hadoop Requirements:Advanced math and statistics knowledge, particularly in the areas of calculus, linear algebra, and Bayesian statisticsAdvanced degree in math, computer science, statistics or a related fieldA master’s degree in artificial intelligence, deep learning, or a related disciplineStrong teamwork, problem-solving, and analytical skills.Abilities in software engineeringKnowledge of data scienceLanguages for coding and programming, such as Python, Java, C++, C, R, and JavaScriptPractical understanding of ML frameworksPractical familiarity with ML libraries and packagesRecognize software architecture, data modeling, and data structuresUnderstanding of computer architecture Uplift with UplersUplers believe in connecting people. Being a people-first organization, Uplers constantly strives for individuals who won't just keep up, but break new ground. Helping you find what’s next is what we’re all about. It doesn't surprise us that we are growing and becoming one of the most popular companies in the industry. All set to enter the #WorldOfAwesomeness?Hit the Apply button!",3668, IT Services and IT Consulting, Mid-Senior level,Greater Bengaluru Area,Karnataka
3472816027,Data Science,1553,PVAR SERVICES,On-site,Full-time,1,200,2094,"About the job Designation: Data ScienceLocation: GurgaonSalary: 3- 4 LPAWork Hours: 9:30 am - 6:30 pmQualification: Graduation/Post GraduationExperience: 1+ Years Company Brief:This Company is a B2B managed marketplace in the textile industry that aims to improve the supply chain from design to delivery. You strive to provide transparency and visibility to customers by controlling the supply chain and tracking fabric processing. Series A funded. Key Responsibilities : 1.Collecting and analyzing large data sets from multiple sources. 2. Cleaning and transforming data to ensure accuracy and consistency. 3. Building and maintaining databases and data systems. 4. Creating visualizations and reports to effectively communicate findings and insights to stakeholders. 5. Using statistical models and machine learning techniques to identify patterns and trends in data. 6. Providing recommendations based on data analysis to support decision-making. 7. Collaborating with cross-functional teams and stakeholders to understand business requirements and develop solutions. 8. Staying up-to-date with new data analysis tools and technologies. A Data Science should have a strong background in statistics, mathematics, and computer science, as well as proficiency in data analysis tools such as SQL, R, and Python. Additionally, strong analytical and problem-solving skills, as well as excellent communication and collaboration skills, are essential for success in this role.",3083,Not Avilable,Not Avilable,Gurugram,Haryana
3473311511,Data Science,2147,Timeline Freight Brokers,On-site,Full-time,1,8,982115.1912,"About the job The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users. Responsibilities• Use statistical methods to analyze data and generate useful business reports• Work with management team to create a prioritized list of needs for each business segment• Identify and recommend new ways to save money by streamlining business processes• Use data to create models that depict trends in the customer base and the consumer population as a whole• Work with departmental managers to outline the specific data needs for each business method analysis project QualificationsBachelor's or Master's degree in Statistics or Applied Mathematics or equivalent experience1 - 2 years' Data Analysis experienceProficient in SQL Job Types: Fresher, Full-time, Regular / Permanent Schedule:• Evening shift• Night shift Ability to commute/relocate:• Mohali, Mohali - 160055, Punjab: Reliably commute or planning to relocate before starting work.",3359,Not Avilable,Not Avilable,Mohali district,North West
3472504479,Data Science,2421,airtel,On-site,Full-time,10001,200,972657,"About the job The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.Develop an In-depth understanding of user journeys on Airtel Digital Platforms and generate data driven insights & recommendations to help product business in meticulous decision making. Responsibilities: - Understand the day-to-day issues that our business faces, which can be better understood with data. Compile and analyse data related to business' issuesDevelop clear visualizations to convey complicated data in a straightforward fashion.Strong problem solving skills. Should be able to engage senior management with data.Experience in working on large datasets is a must. Key Competencies: - Knowledge of Databases - Ms Excel, Google Sheet, SQL, Hadoop & MS Access. Familiar with Hadoop Eco System & DartsData Analytics / Visualization tools - Tableau, R-Visualization Lib's, MS office suite & Power BI Ability to be hands-on as needed. Qualifications: -Bachelor's degree or equivalent. Experience: -1 - 2 years' Analysis experience.",2901, Telecommunications, Entry level,Gurugram,Haryana
3471658510,Data Science,524,Crossover,Remote,Full-time,1001,200,5395546,"About the job Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes? Are you looking for an entry-level role in the software industry that will give you the skills and exposure to move into any speciality later? We’re looking for curious individuals who love searching for meaningful answers. In this role, you’ll be given a business problem and will scour the internet for possible solutions. The problems will come from every area of our business: operations, finance, hiring, engineering, and more - giving you broad exposure. Not only will you gain knowledge, you’ll receive regular coaching and training from a team of global tech experts and operations professionals. Jumpstart your career with us today! What You Will Be Doing Research a variety of high-priority topics that are critical to the businessEvaluate results against provided evaluation criteria What You Won’t Be Doing Researching the same topics repeatedlyWorking on loosely-scoped research with desired outputs not clearly definedGetting lost chasing tangentially-related solutions; our systems and processes will help you focus your research and optimize your time Data Science Key Responsibilities Provide high-quality research data to support company-wide business decisions Basic Requirements Excellent written and verbal communication skillsBasic financial analysis skillsAbility to work in the US timezone About Trilogy Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds. There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you! Working with Crossover This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic. What to expect next: You will receive an email with a link to start your self-paced, online job application.Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments. Important! If you do not receive an email from us: First, emails may take up to 15 minutes to send, refresh and check again.Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply. Crossover Job Code: LJ-4718-IN-Bengalur-DataAnalyst.016",2698, IT Services and IT Consulting, Associate,Bengaluru,Karnataka
3472808738,Shopify Developer,604,Digital Impressions,On-site,Full-time,51,2,1045,"About the job The ideal candidate will be responsible for conceptualizing and executing clear, quality code to develop the best software. You will test your code, identify errors, and iterate to ensure quality code. You will also support our customers and partners by troubleshooting any of their software issues. Roles and Responsibilities-Competent in Shopify app development and Shopify apps architecture.-Proficient knowledge of Shopify liquid code and its advanced concepts.-Candidate should have the expertise to design, develop, test, and deploy solutions based on the industry’s best practices as per organizational requirements.-Expertise in theme integration, customization, HTML/CSS, SCSS, MySQL, AJAX, JS, JQuery, third-party API integrations.-Good knowledge of the latest design tools and a good understanding of UI/UX concepts. Requirements-2+ Years of experience as a Shopify Developer.-Expert in Shopify theme development and customization.-Expertise in HTML5, CSS3 and JavaScript-Understanding of cross-browser compatibility issues and responsive web design techniques.-Hands on experience in integrating API/web services.-Working knowledge of SEO optimization. Good to Have-Understanding of concepts of Dev Ops.-Experience with Shopify Plus store development.",3012,Not Avilable,Not Avilable,Delhi,Delhi
3475061559,Database Developer,1183,Kline & Company,Hybrid,Full-time,201,7,30319,"About the job Are you an experienced Microsoft Transact-SQL looking for a new challenge?Do you have experience in designing normalized database schemas, working from existing business data?Are you ready to be part of a global team interacting with technical and business colleagues in Europe, Asia, Africa and America? It would be great if you had experience with .NET Core, too. And we use Agile approaches to plan and deliver our work ... and our standard hours are 12:00 to 20:00 IST (although we expect you can usually work remotely). If that all sounds good, Kline & Company offers a world-class international work environment; a dynamic, multi-cultural team and collegial work atmosphere; everyday, practical use of English and valuable work experience with a well-established consulting and market research firm; and a competitive compensation and benefits package in a supportive work environment. So, please share your CV - and a few other details - and we look forward to chatting.",3970,Not Avilable,Not Avilable,Gurugram,Haryana
3471883751,Shopify Developer,2234,Unitalks Technologies,Remote,Full-time,11,22,4780,"About the job Create an engaging and knowledgeable online Shopify store to increase sales and revenueCreate bespoke Shopify themes and change pre-existing templates per pre-defined brand guidelinesBe an expert in all aspects of the ECommerce platformWork with the UX and UI Design Teams to create unique, strong, and inventive front-end user experiencesEnsure a smooth connection with Marketing Tools, Platform APIs, and Shopify Apps to optimise the shop for overall efficiency and functionalityTest and debug websites regularly to improve performanceBased on their findings, they provide technical support and coordination, protecting enterprises against failureIncrease conversion rates by optimising your website",2829,Not Avilable,Not Avilable,Noida,Uttar Pradesh
